E_ID,Name,Age,Department,Role,Employment Type,Contract Duration,Band,Exp Yrs,Tenure Yrs,Attendance(%),Leave,Tasks Assigned,Tasks Completed,Tasks Completion Rate(%),Task Quality Score,Goal Achievement(%),Manager Feedback,Teamwork Score,Leadership Score,Client Feedback,Communication,Overtime,Training Hours,Training Completion(%),Performance Score,Performance Category,Recommendation
E0015,Rinkesh Bhatt,40,Sales,Business Development Executive,Full-Time,Permanent,B2,4.6,0.3,97.8,8,21,12,57.14,69.25,65.78,63.72,63.39,62.54,69.29,60.09,7.4,15,53.74,66.79,Average,Training
E0016,Sacchidanand Umar,36,Operations,Process Analyst,Full-Time,Permanent,B3,5.1,4.7,98.0,2,33,22,66.67,61.27,68.81,66.15,82.11,66.89,72.73,83.4,0.0,15,67.18,71.96,Good,Training
E0017,Aman Sharma,31,Operations,Operations Executive,Part-Time,12 Months,B2,4.6,3.8,96.4,3,32,28,87.5,80.12,86.06,88.87,81.53,63.47,83.94,74.61,0.0,10,64.26,83.49,Excellent,Incentive
E0018,Preyash Sharma,24,AI & Data Science,ML Engineer,Full-Time,Permanent,B1,1.0,0.6,91.9,5,23,15,65.22,60.67,64.94,67.74,78.77,62.86,69.88,79.6,0.0,15,58.28,69.38,Average,Training
E0019,Gargi Tanwar,29,Operations,Process Analyst,Full-Time,Permanent,B2,3.4,1.4,91.5,4,26,18,69.23,69.86,75.01,76.82,81.51,57.17,76.13,86.53,7.1,20,69.5,75.41,Good,Incentive
E0020,Janki Bhatnagar,30,Finance,Financial Analyst,Full-Time,Permanent,B3,7.4,5.9,80.8,13,35,28,80.0,80.34,75.05,84.26,71.56,71.15,72.98,70.03,7.5,5,57.1,76.75,Good,Incentive
E0021,Ashok Tendulkar,36,Operations,Process Analyst,Full-Time,Permanent,B3,7.5,3.0,86.2,6,44,31,70.45,70.73,68.22,79.23,66.0,58.87,74.0,75.2,3.3,25,87.2,73.28,Good,Training
E0022,Nootan Awasthi,26,Operations,Operations Manager,Full-Time,Permanent,B2,3.7,1.6,87.8,12,23,17,73.91,78.7,79.2,73.71,76.78,54.71,78.76,83.15,3.9,30,75.86,76.91,Good,Incentive
E0023,Sumitra Shah,28,AI & Data Science,Data Scientist,Full-Time,Permanent,B2,2.2,0.5,91.7,9,28,22,78.57,69.66,78.07,72.96,86.78,50.7,78.83,82.52,0.0,40,82.47,77.46,Good,Incentive
E0024,Akshara Kadam,26,Sales,Business Development Executive,Full-Time,Permanent,B1,1.7,0.4,90.1,7,41,31,75.61,78.53,75.55,70.24,64.84,55.85,72.31,73.02,7.9,20,69.11,74.0,Good,Training
E0025,Madhav Rout,40,Human Resources,Talent Acquisition Specialist,Full-Time,Permanent,B3,8.0,2.6,91.7,8,28,18,64.29,72.45,72.61,69.07,58.67,60.71,74.46,61.54,0.0,30,86.29,70.95,Good,Training
E0026,Brijmohan Mukherjee,56,Operations,Process Analyst,Full-Time,Permanent,B5,20.6,2.4,96.9,4,44,33,75.0,72.71,75.26,82.65,85.55,77.72,74.58,82.97,17.9,25,85.72,80.14,Excellent,Incentive
E0027,Anugya Mistry,36,AI & Data Science,Data Analyst,Full-Time,Permanent,B2,4.6,3.6,97.2,1,45,31,68.89,79.5,76.65,74.11,71.31,59.65,75.36,73.14,17.9,10,64.02,75.33,Good,Incentive
E0028,Konkana Saha,37,Information Technology,System Administrator,Full-Time,Permanent,B4,10.7,9.8,96.9,4,30,25,83.33,86.57,86.11,75.1,73.08,67.13,85.73,87.74,0.0,20,55.72,81.48,Excellent,Incentive
E0029,Lavisha Goel,45,Information Technology,DevOps Engineer,Full-Time,Permanent,B5,20.9,14.7,80.1,8,17,11,64.71,63.79,65.51,69.37,69.92,81.14,65.84,64.55,2.6,20,61.08,68.14,Average,Training
E0030,Risha Gurjar,43,Finance,Accountant,Full-Time,Permanent,B4,10.5,7.4,82.3,6,43,29,67.44,64.71,64.19,68.73,67.39,59.68,68.71,78.48,12.0,30,94.42,69.79,Average,Training
E0031,Mitali Jadhav,40,Information Technology,Software Engineer,Full-Time,Permanent,B4,14.1,1.8,65.8,19,37,21,56.76,70.92,66.74,75.1,60.28,65.57,68.21,62.44,1.5,15,69.04,66.3,Average,PIP
E0032,Ramashankar Gavaskar,46,Finance,Accountant,Full-Time,Permanent,B3,8.7,7.1,96.2,3,23,18,78.26,78.14,76.73,78.16,83.31,65.92,80.49,79.39,12.4,15,62.21,79.05,Good,Incentive
E0033,Vishakha Dey,51,Marketing,Digital Marketing Specialist,Full-Time,Permanent,B5,27.9,5.8,85.9,7,22,13,59.09,58.95,57.97,55.47,69.33,69.98,60.28,65.35,0.0,20,72.18,63.63,Average,Training
E0034,Bhagwati Dalal,23,AI & Data Science,Data Scientist,Full-Time,Permanent,B1,0.4,0.1,76.1,19,29,24,82.76,73.47,79.84,80.05,80.59,57.52,75.97,89.4,0.0,5,43.3,76.4,Good,Incentive
E0035,Shruti Khandelwal,31,AI & Data Science,AI Engineer,Part-Time,6 Months,B4,9.0,6.1,80.4,7,30,18,60.0,65.58,64.38,64.51,73.61,68.76,73.76,83.92,0.0,20,57.61,67.77,Average,Training
E0036,Sonu Bendre,30,Sales,Sales Executive,Contract,24 Months,B2,2.2,0.2,81.0,11,47,39,82.98,80.44,85.38,83.27,76.71,54.29,80.29,80.31,14.5,30,85.64,80.61,Excellent,Incentive
E0037,Raghu Naik,33,Marketing,Marketing Analyst,Full-Time,Permanent,B3,8.5,1.0,97.2,3,37,30,81.08,72.97,77.53,76.42,83.33,74.83,72.92,64.67,15.5,20,72.92,78.52,Good,Incentive
E0038,Purvi Raje,30,Customer Support,Support Executive,Full-Time,Permanent,B2,4.3,4.0,94.4,3,42,29,69.05,75.9,76.18,72.89,71.52,49.95,78.9,82.62,17.4,30,84.5,75.49,Good,Incentive
E0039,Neeti Nag,55,Finance,Financial Analyst,Full-Time,Permanent,B5,21.7,9.9,81.7,8,33,21,63.64,65.57,70.15,69.14,70.69,84.86,68.09,67.56,15.3,25,66.3,69.85,Average,Training
E0040,Mohan Bakshi,50,Customer Support,Support Executive,Full-Time,Permanent,B5,24.7,2.5,96.0,2,51,34,66.67,76.08,76.33,68.36,69.96,79.3,76.29,81.35,14.9,10,48.21,73.97,Good,Training
E0041,Taniya Singhi,30,Sales,Business Development Executive,Contract,6 Months,B3,5.7,1.3,91.4,5,43,31,72.09,65.94,75.3,77.41,68.49,55.17,72.14,81.27,15.9,10,48.96,72.48,Good,Training
E0042,Suman Bahl,55,Finance,Accountant,Part-Time,6 Months,B4,12.6,7.7,93.4,9,38,31,81.58,73.03,76.88,70.95,60.74,72.12,76.6,67.63,9.8,25,66.45,74.92,Good,Training
E0043,Pratima Gunji,45,Information Technology,DevOps Engineer,Full-Time,Permanent,B4,13.6,4.1,99.9,1,22,16,72.73,71.45,71.33,69.07,63.74,73.96,72.52,78.26,11.0,30,94.34,75.01,Good,Training
E0044,Kaushiki Rai,57,Marketing,Marketing Executive,Full-Time,Permanent,B5,25.0,16.9,93.3,4,35,25,71.43,65.63,71.39,63.15,62.81,71.92,69.01,79.25,8.0,40,83.17,71.52,Good,Training
E0045,Deepali Mukherjee,44,AI & Data Science,ML Engineer,Contract,24 Months,B4,13.8,3.8,88.2,12,24,14,58.33,68.48,63.6,62.08,65.85,75.34,73.2,82.22,0.0,50,95.11,69.57,Average,Training
E0046,Gopi Ojha,23,AI & Data Science,ML Engineer,Full-Time,Permanent,B1,0.8,0.5,94.1,7,18,14,77.78,79.87,77.67,79.38,76.37,59.1,81.27,88.82,0.0,25,74.11,79.42,Good,Incentive
E0047,Nivedita Phogat,36,AI & Data Science,AI Engineer,Full-Time,Permanent,B3,8.7,0.8,96.3,7,26,17,65.38,71.73,71.96,80.77,81.48,62.14,72.04,73.61,7.7,20,78.79,75.58,Good,Training
E0048,Kalloo Bhawsar,27,Finance,Finance Executive,Contract,6 Months,B2,4.9,1.8,97.3,0,27,20,74.07,70.47,77.68,82.8,71.18,56.88,77.91,86.4,6.9,50,76.26,77.47,Good,Incentive
E0049,Sonal Kaul,36,Operations,Operations Executive,Part-Time,6 Months,B4,9.7,7.9,87.0,14,20,14,70.0,67.85,75.09,81.78,84.26,63.4,76.2,77.82,3.2,30,84.72,76.44,Good,Incentive
E0050,Harsh Bhatia,31,AI & Data Science,Data Analyst,Full-Time,Permanent,B3,7.3,3.5,97.0,1,34,24,70.59,72.2,76.49,66.9,83.05,63.85,75.58,81.06,10.5,50,76.52,75.78,Good,Training
E0051,Hamsika Jindal,48,Sales,Business Development Executive,Contract,6 Months,B5,24.0,7.7,81.1,14,40,32,80.0,79.74,81.03,76.51,72.04,79.64,78.86,79.26,10.7,25,84.44,79.02,Good,Incentive
E0052,Avnish Thakkar,35,Operations,Process Analyst,Part-Time,12 Months,B3,7.3,0.7,93.3,7,24,19,79.17,80.98,78.71,70.83,68.91,66.02,74.8,63.3,0.0,10,41.5,74.96,Good,Training
E0053,Nitisha Bendre,54,Human Resources,HR Analyst,Part-Time,6 Months,B5,31.2,18.7,92.9,5,19,13,68.42,73.47,68.75,65.26,71.33,81.31,74.07,80.81,2.9,50,95.46,74.39,Good,Training
E0054,Devendra Garg,54,Information Technology,Cloud Engineer,Full-Time,Permanent,B5,16.2,0.1,97.1,6,17,12,70.59,65.87,71.15,62.96,66.48,68.84,70.32,77.99,0.0,20,73.04,71.45,Good,Training
E0055,Uday Swaraj,45,AI & Data Science,Data Analyst,Full-Time,Permanent,B4,10.4,6.9,92.2,6,26,18,69.23,75.71,68.79,71.47,75.71,66.77,72.67,66.91,7.8,25,62.69,73.02,Good,Training
E0056,Ruchi Kannaujiya,37,Operations,Operations Executive,Full-Time,Permanent,B4,9.3,4.0,84.8,8,36,22,61.11,67.0,67.63,67.5,76.72,63.7,68.48,68.82,9.4,10,47.83,68.08,Average,Training
E0057,Kamini Khatri,35,Human Resources,HR Executive,Full-Time,Permanent,B3,6.4,5.1,94.2,7,17,15,88.24,82.5,79.64,77.61,65.82,68.24,80.49,73.84,0.0,10,55.83,79.12,Good,Incentive
E0058,Atishay Runthla,44,Sales,Account Manager,Part-Time,6 Months,B3,7.2,1.8,81.4,15,17,9,52.94,55.01,60.8,64.22,78.59,60.85,67.51,76.46,7.1,25,78.38,65.1,Average,Training
E0059,Mridula Thackeray,28,Human Resources,HR Analyst,Full-Time,Permanent,B3,5.1,3.0,90.4,9,29,21,72.41,65.22,69.1,66.47,83.81,53.38,70.84,75.67,0.0,50,93.47,73.07,Good,Training
E0060,Nityanand Misra,42,Sales,Sales Executive,Full-Time,Permanent,B3,7.3,0.5,88.1,10,42,25,59.52,57.66,63.43,57.97,81.53,61.36,66.4,74.14,15.4,20,77.95,66.74,Average,Training
E0061,Nivedita Patwari,33,Sales,Sales Executive,Full-Time,Permanent,B3,5.5,1.8,91.9,6,43,32,74.42,80.78,81.41,80.81,64.97,64.02,80.73,68.12,8.8,25,65.72,77.23,Good,Incentive
E0062,Dhrupad Umar,50,Human Resources,Talent Acquisition Specialist,Part-Time,6 Months,B5,20.6,8.7,91.8,4,26,19,73.08,70.98,75.39,68.76,69.36,73.39,78.55,87.27,9.8,25,75.99,75.11,Good,Training
E0063,Premchand Umrao,55,AI & Data Science,ML Engineer,Full-Time,Permanent,B5,28.8,22.2,96.3,7,16,13,81.25,77.5,80.45,73.21,69.45,82.67,77.1,74.11,0.0,30,81.73,79.22,Good,Incentive
E0064,Gaurav Ghosh,49,Customer Support,Support Analyst,Full-Time,Permanent,B4,12.5,4.8,94.8,5,45,33,73.33,75.75,78.24,68.65,70.07,75.62,77.65,73.53,11.6,25,65.62,75.5,Good,Training
E0065,Naitik Jaitley,35,Finance,Accountant,Part-Time,6 Months,B4,12.5,2.8,91.7,2,33,21,63.64,59.8,64.59,62.41,71.55,58.04,71.7,83.37,10.4,30,73.44,68.22,Average,Training
E0066,Yashika Rathore,28,Sales,Business Development Executive,Full-Time,Permanent,B3,5.6,0.1,81.3,14,36,24,66.67,68.24,71.65,67.38,63.32,60.01,70.13,62.03,1.9,10,60.92,68.21,Average,Training
E0067,Nalini Dikshit,31,Marketing,Digital Marketing Specialist,Full-Time,Permanent,B2,4.2,0.0,92.9,4,36,26,72.22,76.14,74.38,72.6,78.91,65.34,77.53,86.74,18.1,5,42.17,75.07,Good,Training
E0068,Sudarshini Dikshit,55,Human Resources,HR Executive,Full-Time,Permanent,B5,24.5,2.5,93.8,4,16,14,87.5,80.54,80.95,81.26,84.27,91.82,80.95,86.84,0.0,15,50.87,82.87,Excellent,Incentive
E0069,Sonam Ray,46,Information Technology,DevOps Engineer,Contract,12 Months,B5,22.8,11.8,99.5,4,16,9,56.25,67.25,60.76,64.86,81.4,75.47,65.34,77.34,0.0,30,92.37,70.98,Good,Training
E0070,Sohini Pradhan,54,Finance,Accountant,Contract,24 Months,B4,14.4,1.2,92.2,4,37,26,70.27,68.32,66.56,66.94,68.97,73.45,65.68,65.68,16.2,20,66.18,70.48,Good,Training
E0071,Dishita Bhargav,34,Marketing,Marketing Analyst,Full-Time,Permanent,B4,9.0,3.7,93.7,4,15,12,80.0,72.0,77.28,80.08,63.21,69.93,71.68,63.93,0.0,25,79.48,76.35,Good,Incentive
E0072,Neeloo Azad,24,Operations,Process Analyst,Full-Time,Permanent,B1,1.1,0.7,81.0,7,35,21,60.0,65.56,69.08,63.58,77.79,48.69,71.64,78.52,11.8,25,87.47,68.93,Average,Training
E0073,Viral Supriyo,39,Operations,Process Analyst,Contract,12 Months,B5,17.0,13.8,98.0,5,42,33,78.57,69.71,75.18,80.6,84.5,86.99,76.73,86.1,12.6,10,45.02,78.6,Good,Incentive
E0074,Animesh Javdekar,24,AI & Data Science,Data Analyst,Full-Time,Permanent,B1,1.7,0.9,90.4,6,32,23,71.88,81.71,78.13,78.38,85.78,52.2,83.43,83.87,0.3,25,73.75,78.8,Good,Incentive
E0075,Shefali Khanna,45,Marketing,Marketing Executive,Contract,12 Months,B4,14.4,12.5,97.0,4,20,16,80.0,72.33,80.66,71.79,78.41,68.74,75.55,87.64,4.1,15,63.13,78.01,Good,Incentive
E0076,Kamlesh Rajpoot,55,Information Technology,DevOps Engineer,Full-Time,Permanent,B5,24.6,17.7,94.2,2,15,10,66.67,62.26,71.28,75.07,66.35,79.34,69.32,67.8,9.3,5,54.72,70.91,Good,Training
E0077,Priyamvada Raje,24,Information Technology,DevOps Engineer,Full-Time,Permanent,B1,1.2,0.8,83.7,12,21,14,66.67,66.79,64.81,75.2,83.94,55.3,66.82,68.04,0.9,10,46.04,69.59,Average,Training
E0078,Devendra Kamble,48,Information Technology,Software Engineer,Full-Time,Permanent,B4,14.0,8.6,87.8,7,25,12,48.0,65.04,61.58,61.71,78.23,68.98,67.08,59.63,0.0,20,57.25,64.7,Average,Training
E0079,Mansa Ganguly,54,Customer Support,Support Executive,Full-Time,Permanent,B4,9.2,4.6,97.3,7,43,31,72.09,73.75,76.72,74.17,83.11,72.41,76.35,85.65,6.2,15,61.33,77.34,Good,Incentive
E0080,Shrikant Dave,33,Finance,Accountant,Part-Time,6 Months,B2,3.8,0.4,94.9,10,31,23,74.19,78.94,73.01,75.35,64.76,51.01,74.17,74.69,9.3,20,66.42,74.5,Good,Training
E0081,Hari Awasthi,39,Information Technology,Software Engineer,Full-Time,Permanent,B5,15.0,8.9,92.5,9,37,25,67.57,71.27,70.1,63.65,60.84,66.33,69.03,66.54,16.7,25,77.42,70.19,Good,Training
E0082,Priyanka Yadav,46,Marketing,Marketing Executive,Full-Time,Permanent,B5,17.2,14.5,86.1,5,33,23,69.7,79.4,70.25,65.78,62.34,74.84,72.31,66.62,0.5,30,93.01,72.95,Good,Training
E0083,Gautam Adarsh,56,Information Technology,Software Engineer,Full-Time,Permanent,B5,21.9,6.9,88.2,10,32,21,65.62,66.35,70.47,74.89,80.23,82.75,69.11,78.01,6.1,15,71.82,73.53,Good,Training
E0084,Anamika Bhogle,33,Sales,Business Development Executive,Full-Time,Permanent,B3,7.4,6.9,91.4,10,32,20,62.5,73.8,67.9,69.15,66.97,52.69,76.5,79.63,12.4,10,63.1,70.44,Good,Training
E0085,Snigdha Singh,38,Information Technology,System Administrator,Contract,24 Months,B3,7.3,0.8,91.2,2,41,26,63.41,74.56,66.89,66.97,64.79,59.33,70.46,60.38,18.9,50,78.95,69.83,Average,Training
E0086,Leela Tiwari,28,Information Technology,DevOps Engineer,Full-Time,Permanent,B2,4.4,4.0,73.0,11,20,11,55.0,60.56,64.32,74.71,78.0,65.96,61.59,60.04,9.8,30,91.81,67.26,Average,PIP
E0087,Bhagirathi Goyal,25,Information Technology,Cloud Engineer,Contract,12 Months,B1,1.4,1.4,92.5,4,31,22,70.97,71.82,69.0,65.03,67.69,48.18,67.0,62.03,4.8,25,81.43,70.47,Good,Training
E0088,Indraneel Jindal,41,Finance,Financial Analyst,Full-Time,Permanent,B3,7.4,1.0,82.2,9,27,17,62.96,62.55,67.76,76.94,78.58,56.41,68.6,68.59,0.0,25,64.05,69.49,Average,Training
E0089,Amar Menon,41,AI & Data Science,Data Analyst,Contract,24 Months,B5,15.7,10.8,94.7,7,39,29,74.36,69.7,77.43,74.27,85.54,74.03,75.59,74.07,16.7,30,90.64,78.1,Good,Incentive
E0090,Somdatt Keshari,29,Finance,Accountant,Full-Time,Permanent,B2,4.7,0.3,92.5,10,24,19,79.17,71.84,79.32,74.92,81.6,61.72,79.72,80.8,0.0,20,56.39,77.13,Good,Incentive
E0091,Pradeep Tendulkar,55,Finance,Financial Analyst,Full-Time,Permanent,B5,28.2,20.4,94.1,5,33,25,75.76,68.02,72.14,75.62,65.47,85.09,75.69,75.71,2.4,15,50.89,74.06,Good,Training
E0092,Rani Ketkar,40,Finance,Finance Executive,Full-Time,Permanent,B3,5.6,5.4,96.3,5,18,11,61.11,60.34,63.99,67.44,67.52,49.43,63.6,77.17,0.0,15,64.34,67.04,Average,Training
E0093,Runjhun Chouhan,33,Operations,Operations Executive,Full-Time,Permanent,B3,5.0,4.7,90.6,8,39,29,74.36,79.24,80.03,69.6,62.14,48.68,77.08,66.57,9.0,30,80.06,74.38,Good,Training
E0094,Amber Bhawsar,47,Sales,Business Development Executive,Full-Time,Permanent,B5,24.9,5.8,97.2,5,27,22,81.48,75.74,74.61,77.83,69.11,71.38,77.04,67.96,2.0,40,97.79,78.79,Good,Training
E0095,Shilpi Lakhotia,53,Customer Support,Support Analyst,Full-Time,Permanent,B5,26.0,8.3,90.7,8,25,15,60.0,69.7,66.13,76.24,77.9,86.14,72.03,68.06,0.0,25,65.85,72.27,Good,Training
E0096,Sharad Piramal,57,Information Technology,Software Engineer,Full-Time,Permanent,B5,18.5,9.9,96.1,6,36,28,77.78,78.64,72.92,67.6,76.95,79.5,74.46,81.11,3.0,15,70.18,77.11,Good,Training
E0097,Gayatri Dhoundial,38,Customer Support,Support Analyst,Full-Time,Permanent,B5,16.0,7.7,85.4,8,32,19,59.38,72.11,67.48,76.09,74.68,72.43,68.81,70.49,0.2,10,64.53,71.08,Good,Training
E0098,Sumitra Piramal,24,Human Resources,HR Executive,Full-Time,Permanent,B1,0.8,0.1,88.4,14,28,13,46.43,52.85,51.35,55.28,62.03,49.14,61.86,67.26,3.5,20,74.08,58.55,Needs Improvement,PIP
E0099,Kumud Lohia,34,Information Technology,DevOps Engineer,Full-Time,Permanent,B4,9.5,4.6,97.1,0,31,23,74.19,66.32,75.06,80.64,84.17,68.29,76.2,81.05,6.4,5,45.14,76.09,Good,Incentive
E0100,Devyani Umrao,54,Marketing,Marketing Analyst,Contract,24 Months,B5,19.7,0.1,90.1,10,38,26,68.42,66.78,73.94,64.07,77.88,82.73,76.37,80.67,16.8,10,42.41,71.89,Good,Training
E0101,Shivesh Baghel,31,Marketing,Marketing Executive,Full-Time,Permanent,B3,7.6,0.6,96.9,3,37,29,78.38,72.4,77.45,81.42,86.56,72.84,73.29,81.32,3.9,10,40.24,78.18,Good,Incentive
E0102,Nishant Kanetkar,41,Operations,Process Analyst,Full-Time,Permanent,B5,18.7,18.2,97.8,3,26,18,69.23,78.27,75.47,77.17,83.39,83.67,73.37,69.34,7.4,25,78.95,78.41,Good,Incentive
E0103,Parth Dikshit,25,Customer Support,Customer Success Associate,Part-Time,12 Months,B2,2.8,0.8,92.8,8,41,26,63.41,74.41,67.9,76.49,83.08,64.27,70.15,64.05,12.1,20,75.97,73.64,Good,Training
E0104,Anugya Sen,55,AI & Data Science,Data Scientist,Contract,12 Months,B4,13.9,7.7,90.9,8,17,11,64.71,73.07,67.65,67.14,63.27,65.65,70.95,59.84,0.0,15,57.24,68.99,Average,Training
E0105,Mohini Sonkar,33,AI & Data Science,ML Engineer,Full-Time,Permanent,B3,5.0,0.7,84.0,13,31,17,54.84,60.29,56.04,61.18,68.22,53.03,59.4,56.56,4.2,10,62.53,61.65,Average,Training
E0106,Rishabh Jain,42,Sales,Sales Executive,Full-Time,Permanent,B4,9.0,1.3,82.5,9,35,23,65.71,73.91,69.05,80.12,78.03,69.99,73.51,81.16,12.3,10,40.17,72.61,Good,Training
E0107,Shakumbhari Munda,47,Human Resources,Talent Acquisition Specialist,Full-Time,Permanent,B4,14.3,11.8,93.0,6,30,20,66.67,71.39,71.94,72.51,69.06,67.56,72.59,64.9,0.0,30,78.15,72.74,Good,Training
E0108,Meghna Mathur,51,AI & Data Science,Data Analyst,Full-Time,Permanent,B5,19.1,13.0,94.8,9,42,32,76.19,70.69,77.0,80.52,81.18,86.55,73.69,64.93,1.3,10,47.57,76.89,Good,Incentive
E0109,Apurva Shirke,40,Operations,Operations Executive,Contract,12 Months,B4,12.4,6.6,97.7,6,37,28,75.68,67.34,77.31,77.54,80.65,79.47,72.52,84.69,8.6,15,62.82,77.49,Good,Incentive
E0110,Padmaja Sahani,57,AI & Data Science,Data Scientist,Full-Time,Permanent,B5,28.4,15.8,91.1,7,27,18,66.67,68.94,70.93,75.19,83.13,81.11,68.15,64.63,10.9,40,77.15,74.23,Good,Training
E0111,Ranjan Poddar,55,Human Resources,Talent Acquisition Specialist,Full-Time,Permanent,B5,16.9,1.6,92.3,3,29,25,86.21,74.32,81.91,69.24,63.46,77.53,79.56,70.63,4.1,25,70.77,77.25,Good,Training
E0112,Menaka Sethi,36,Operations,Process Analyst,Full-Time,Permanent,B4,10.4,4.1,94.4,9,38,29,76.32,74.63,70.51,68.12,75.25,71.41,72.16,66.29,3.0,30,83.42,75.07,Good,Training
E0113,Garima Bishnoi,42,Finance,Financial Analyst,Contract,24 Months,B5,19.5,6.1,92.0,3,26,19,73.08,71.16,72.37,67.26,80.52,85.83,74.07,77.31,1.0,15,50.42,74.21,Good,Training
E0114,Priti Hazari,30,Human Resources,HR Analyst,Full-Time,Permanent,B2,4.5,2.2,94.6,4,32,21,65.62,63.07,64.49,62.34,75.76,63.94,71.96,79.14,2.2,20,59.88,69.11,Average,Training
E0115,Mansa Pratap,39,Finance,Accountant,Full-Time,Permanent,B5,15.0,7.3,65.4,17,29,18,62.07,58.42,60.63,61.41,73.51,74.71,65.25,76.45,0.0,15,61.08,64.14,Average,PIP
E0116,Indrani Deewan,34,Operations,Process Analyst,Full-Time,Permanent,B3,6.8,5.0,91.2,2,34,24,70.59,67.98,74.18,65.69,66.33,64.8,71.94,82.55,6.6,30,87.23,72.85,Good,Training
E0117,Rupa Mazumdar,44,AI & Data Science,Data Scientist,Full-Time,Permanent,B3,6.5,2.3,84.8,10,24,18,75.0,71.31,71.38,78.89,84.09,58.38,78.82,88.6,4.5,50,96.68,77.5,Good,Training
E0118,Aryabhatta Thakur,52,AI & Data Science,ML Engineer,Full-Time,Permanent,B5,26.5,10.4,85.7,15,28,14,50.0,56.57,53.05,66.77,71.04,81.4,63.44,75.95,0.0,40,86.37,64.99,Average,Training
E0119,Santoshi Hatwal,30,AI & Data Science,Data Analyst,Full-Time,Permanent,B3,6.4,2.9,91.8,3,45,31,68.89,71.63,68.25,70.23,65.46,65.56,68.32,64.53,6.8,20,63.59,70.68,Good,Training
E0120,Kush Shrivastava,56,Marketing,Marketing Analyst,Full-Time,Permanent,B5,32.2,5.1,95.0,8,21,16,76.19,84.45,82.94,87.23,86.24,91.83,77.4,74.2,0.0,20,57.06,82.77,Excellent,Incentive
